country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,
Portugal,29660,228,1263,16,6452,21945,93,2908,124,662375,64939,"10,199,983"
Singapore,29364,570,22,,10365,18977,10,5024,4,246254,42131,"5,845,014"
Bangladesh,26738,1617,386,16,5207,21145,1,163,2,203852,1239,"164,497,521"
UAE,25063,,227,,10791,14045,1,2538,23,1600923,162098,"9,876,291"
Ireland,24251,,1561,,19470,3220,54,4918,317,295626,59949,"4,931,300"
Poland,19569,301,953,5,8183,10433,160,517,25,674861,17829,"37,851,214"
Ukraine,19230,354,564,16,5955,12711,245,439,13,248529,5679,"43,762,271"
Indonesia,19189,693,1242,21,4575,13372,,70,5,211883,776,"273,184,442"
Kuwait,17568,804,124,3,4885,12559,167,4121,29,256314,60125,"4,263,020"
Romania,17387,196,1141,4,10356,5890,198,903,59,332487,17271,"19,251,572"
South Africa,17200,,312,,7960,8928,119,290,5,488609,8251,"59,220,176"
Colombia,16935,,613,,4050,12272,136,333,12,201808,3971,"50,819,268"
Israel,16659,,278,,13435,2946,50,1928,32,512452,59316,"8,639,287"
Japan,16367,,768,,11564,4035,213,129,6,255675,2021,"126,519,062"
Austria,16353,32,633,1,14882,838,37,1817,70,379592,42175,"9,000,506"
Egypt,13484,,659,,3742,9083,41,132,6,135000,1322,"102,099,285"
Dominican Republic,13223,,441,,6613,6169,136,1220,41,50108,4625,"10,835,186"
Philippines,13221,279,842,5,2932,9447,81,121,8,244800,2237,"109,407,875"
Denmark,11117,73,554,3,9536,1027,25,1920,96,490782,84765,"5,789,887"
S. Korea,11110,32,263,,10066,781,15,217,5,776433,15146,"51,264,240"
Serbia,10833,100,235,1,5067,5531,13,1239,27,196881,22523,"8,741,226"
Panama,9867,,281,,6194,3392,72,2291,65,51815,12032,"4,306,610"
Argentina,8809,,394,1,2933,5482,154,195,9,108634,2406,"45,147,454"
Czechia,8683,36,303,1,5731,2649,36,811,28,372341,34776,"10,706,744"
Norway,8267,,234,1,32,8001,16,1526,43,219984,40615,"5,416,333"
Afghanistan,8145,492,187,9,930,7028,19,210,5,25700,662,"38,819,750"
Bahrain,7843,311,12,,3334,4497,9,4630,7,254335,150154,"1,693,829"
Algeria,7377,,561,,3746,3070,22,169,13,,,"43,754,940"
Australia,7079,11,100,,6444,535,9,278,4,1111567,43651,"25,465,024"
Morocco,7048,25,194,1,4037,2817,1,191,5,104915,2846,"36,858,953"
Malaysia,7009,31,114,,5706,1189,11,217,4,471318,14584,"32,316,866"
Kazakhstan,6969,218,35,,3649,3285,31,372,2,571547,30482,"18,750,200"
Finland,6443,44,301,,5000,1142,25,1163,54,152300,27492,"5,539,752"
Nigeria,6401,,192,,1734,4475,7,31,0.9,36899,180,"205,500,163"
Moldova,6340,,221,,2508,3611,251,1571,55,20447,5067,"4,034,998"
Ghana,6096,,31,,1773,4292,8,197,1,184343,5948,"30,993,199"
Oman,6043,372,28,1,1661,4354,31,1187,6,72000,14144,"5,090,324"
Armenia,5271,230,67,3,2419,2785,10,1779,23,44071,14876,"2,962,619"
Bolivia,4481,218,189,15,533,3759,3,385,16,14803,1270,"11,654,083"
Luxembourg,3958,,109,,3718,131,10,6335,174,63011,100858,"624,752"
Iraq,3611,,131,,2366,1114,,90,3,149701,3732,"40,110,732"
Hungary,3598,42,470,3,1454,1674,29,372,49,142729,14771,"9,663,057"
Cameroon,3529,,140,,1567,1822,28,133,5,,,"26,463,124"
Azerbaijan,3518,,41,,2198,1279,37,347,4,240220,23717,"10,128,537"
Thailand,3034,1,56,,2888,90,61,43,0.8,286008,4099,"69,780,195"
Honduras,2955,157,147,1,349,2459,13,299,15,10775,1090,"9,885,675"
Uzbekistan,2927,72,13,,2369,545,6,88,0.4,460000,13768,"33,411,286"
Guinea,2863,,18,,1525,1320,18,219,1,10304,787,"13,087,736"
Greece,2840,,165,,1374,1301,22,272,16,136001,13041,"10,428,608"
Sudan,2728,,111,,286,2331,,62,3,281,6,"43,721,964"
Senegal,2714,97,30,,1186,1498,6,163,2,24599,1474,"16,688,310"
Bosnia and Herzegovina,2338,17,136,2,1557,645,4,712,41,55624,16943,"3,283,031"
Bulgaria,2292,33,116,4,684,1492,33,330,17,68243,9813,"6,954,080"
Croatia,2234,2,96,,1978,160,8,544,23,57021,13880,"4,108,012"
Ivory Coast,2153,,28,,1050,1075,,82,1,19174,729,"26,296,533"
Guatemala,2133,132,43,5,155,1935,5,119,2,20820,1165,"17,875,264"
Tajikistan,1936,,41,,641,1254,,204,4,,,"9,511,117"
Cuba,1887,,79,,1538,270,8,167,7,85556,7553,"11,327,386"
North Macedonia,1858,19,110,4,1367,381,21,892,53,22767,10928,"2,083,384"
Iceland,1803,1,10,,1789,4,,5288,29,57628,169003,"340,988"
Estonia,1794,3,64,,956,774,2,1352,48,72464,54631,"1,326,435"
DRC,1731,102,61,,302,1368,,19,0.7,,,"89,211,817"
Djibouti,1618,,7,,1033,578,,1641,7,18933,19196,"986,284"
Lithuania,1577,15,60,,1049,468,17,578,22,245580,90080,"2,726,257"
El Salvador,1571,73,31,1,531,1009,27,242,5,62838,9694,"6,482,464"
New Zealand,1503,,21,,1447,35,1,312,4,238725,49552,"4,817,692"
Somalia,1502,,59,,178,1265,2,95,4,,,"15,836,937"
Gabon,1502,,12,,318,1172,9,677,5,7966,3590,"2,219,197"
Slovakia,1496,1,28,,1231,237,3,274,5,148845,27264,"5,459,346"
Slovenia,1468,1,105,1,1340,23,4,706,51,73319,35268,"2,078,906"
Mayotte,1370,,18,,627,725,9,5037,66,5200,19118,"271,994"
Kyrgyzstan,1270,27,14,,910,346,5,195,2,94441,14504,"6,511,224"
Maldives,1186,43,4,,91,1091,9,2199,7,11775,21830,"539,391"
Hong Kong,1056,,4,,1026,26,1,141,0.5,168291,22469,"7,489,929"
Tunisia,1044,1,47,1,826,171,3,88,4,41620,3526,"11,804,125"
Guinea-Bissau,1038,,6,,42,990,,529,3,1500,764,"1,962,210"
Sri Lanka,1027,4,9,,584,434,1,48,0.4,46413,2169,"21,403,028"
Latvia,1016,4,21,,694,301,3,538,11,92751,49116,"1,888,407"
Albania,964,15,31,,758,175,1,335,11,12555,4362,"2,878,146"
Kenya,963,,50,,358,555,1,18,0.9,46784,872,"53,624,913"
Lebanon,961,7,26,,251,684,4,141,4,65363,9572,"6,828,786"
Cyprus,918,,17,,516,385,10,761,14,90718,75201,"1,206,344"
Niger,914,,55,,734,125,,38,2,5909,245,"24,091,143"
Mali,901,,53,,529,319,,45,3,3483,173,"20,176,487"
Costa Rica,882,,10,,577,295,5,173,2,20741,4076,"5,088,699"
Zambia,832,60,7,,197,628,1,45,0.4,19014,1038,"18,318,568"
Paraguay,829,,11,,230,588,,116,2,21121,2966,"7,122,183"
Equatorial Guinea,825,,7,,22,796,,591,5,854,611,"1,397,001"
Burkina Faso,809,13,52,1,661,96,,39,2,,,"20,830,672"
Andorra,761,,51,,628,82,3,9851,660,3750,48543,"77,251"
Venezuela,749,131,10,,253,486,1,26,0.4,616562,21676,"28,444,815"
Uruguay,738,,20,,579,139,4,213,6,34794,10020,"3,472,364"
Georgia,713,6,12,,475,226,6,179,3,40711,10203,"3,990,014"
Diamond Princess,712,,13,,651,48,4,,,,,
San Marino,655,,41,,211,403,1,19308,1209,3610,106417,"33,923"
Jordan,649,,9,,417,223,5,64,0.9,148482,14569,"10,191,291"
Haiti,596,63,22,1,21,553,,52,2,2270,199,"11,386,106"
Malta,584,15,6,,465,113,1,1323,14,54866,124297,"441,410"
Sierra Leone,570,36,34,1,205,331,,72,4,,,"7,957,089"
Channel Islands,555,,44,,479,32,,3196,253,5342,30758,"173,676"
Chad,545,,56,,139,350,,33,3,,,"16,365,816"
Jamaica,520,,9,,145,366,,176,3,8828,2983,"2,959,694"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,517,667"
Réunion,446,,,,354,92,4,499,,17200,19227,"894,575"
Taiwan,440,,7,,402,31,,18,0.3,69876,2934,"23,811,922"
Nepal,427,25,2,,45,380,1,15,0.07,110566,3803,"29,073,225"
Congo,420,,15,,132,273,,76,3,,,"5,501,102"
Palestine,391,,2,,346,43,,77,0.4,44876,8822,"5,086,676"
Ethiopia,389,24,5,,122,262,,3,0.04,65760,574,"114,607,221"
Madagascar,371,45,2,,131,238,,13,0.07,5670,205,"27,601,550"
CAR,366,,,,18,348,,76,,3498,726,"4,819,607"
Togo,338,,12,,107,219,,41,1,13825,1675,"8,254,589"
Isle of Man,335,,24,,300,11,9,3942,282,4234,49822,"84,982"
Cabo Verde,335,,3,,85,247,,603,5,892,1606,"555,278"
Mauritius,332,,10,,322,0,,261,8,92764,72955,"1,271,531"
Montenegro,324,,9,,312,3,2,516,14,10167,16188,"628,057"
Vietnam,324,,,,263,61,2,3,,275000,2828,"97,236,622"
Rwanda,308,,,,209,99,,24,,52335,4053,"12,912,035"
South Sudan,290,,4,,4,282,,26,0.4,3356,300,"11,178,254"
Uganda,264,4,,,65,199,,6,,75228,1651,"45,554,546"
Nicaragua,254,,17,,199,38,,38,3,,,"6,615,255"
Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,"218,664"
Liberia,233,,23,,125,85,,46,5,,,"5,042,890"
French Guiana,218,,1,,136,81,,732,3,,,"297,708"
Eswatini,208,,2,,87,119,,180,2,4160,3590,"1,158,757"
Myanmar,193,,6,,104,83,,4,0.1,15137,278,"54,367,787"
Martinique,192,,14,,91,87,,512,37,,,"375,297"
Faeroe Islands,187,,,,187,0,,3829,,8986,183981,"48,842"
Yemen,167,,28,,5,134,,6,0.9,120,4,"29,744,780"
Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,"400,116"
Gibraltar,147,,,,145,2,,4363,,5410,160572,"33,692"
Mozambique,146,,,,48,98,,5,,6537,210,"31,144,220"
Brunei,141,,1,,136,4,2,323,2,17718,40546,"436,990"
Mongolia,140,,,,26,114,27,43,,11641,3558,"3,271,940"
Mauritania,131,,4,,7,120,,28,0.9,2583,557,"4,634,257"
Benin,130,,2,,83,45,,11,0.2,25471,2108,"12,083,204"
Guyana,125,,10,,46,69,3,159,13,1269,1614,"786,119"
Bermuda,125,,9,,78,38,2,2006,144,5705,91569,"62,303"
Cambodia,122,,,,122,0,,7,,15572,933,"16,691,420"
Trinidad and Tobago,116,,8,,107,1,,83,6,2727,1949,"1,398,974"
Cayman Islands,111,,1,,55,55,,1691,15,7082,107906,"65,631"
Aruba,101,,3,,93,5,4,946,28,2025,18976,"106,714"
Monaco,97,,4,,87,6,1,2474,102,,,"39,210"
Bahamas,96,,11,,43,42,1,244,28,1826,4649,"392,805"
Barbados,90,2,7,,68,15,4,313,24,4167,14502,"287,335"
Liechtenstein,82,,1,,55,26,,2151,26,900,23612,"38,116"
Sint Maarten,77,,15,,54,8,7,1798,350,414,9669,"42,819"
Malawi,70,,3,,27,40,1,4,0.2,1803,95,"19,067,788"
Libya,68,,3,,35,30,,10,0.4,3633,530,"6,860,181"
French Polynesia,60,,,,60,0,,214,,3496,12454,"280,722"
Syria,58,,3,,36,19,,3,0.2,,,"17,447,571"
Angola,52,,3,,17,32,,2,0.09,6136,187,"32,734,590"
Zimbabwe,46,,4,,18,24,,3,0.3,28019,1888,"14,837,082"
Macao,45,,,,45,0,,69,,,,"648,282"
Burundi,42,,1,,20,21,,4,0.08,284,24,"11,845,443"
Saint Martin,39,,3,,30,6,1,1011,78,,,"38,586"
Eritrea,39,,,,39,0,,11,,,,"3,540,578"
Comoros,34,23,1,,8,25,,39,1,,,"867,319"
Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,"97,835"
Botswana,25,,1,,17,7,,11,0.4,13294,5667,"2,345,808"
Gambia,24,,1,,13,10,,10,0.4,1476,613,"2,408,042"
Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,383"
Grenada,22,,,,14,8,4,196,,2419,21509,"112,464"
Bhutan,21,,,,5,16,,27,,14294,18549,"770,610"
Laos,19,,,,14,5,,3,,4743,653,"7,262,953"
Belize,18,,2,,16,0,,45,5,1043,2629,"396,752"
Fiji,18,,,,15,3,,20,,1300,1451,"895,695"
New Caledonia,18,,,,18,0,,63,,5454,19125,"285,178"
Saint Lucia,18,,,,18,0,,98,,786,4283,"183,531"
St. Vincent Grenadines,17,,,,14,3,,153,,155,1398,"110,900"
Curaçao,16,,1,,14,1,,98,6,485,2957,"164,017"
Dominica,16,,,,16,0,,222,,433,6017,"71,966"
Namibia,16,,,,14,2,,6,,2586,1020,"2,535,319"
Saint Kitts and Nevis,15,,,,15,0,,282,,391,7356,"53,156"
Falkland Islands,13,,,,13,0,,3750,,426,122873,"3,467"
Turks and Caicos,12,,1,,10,1,,310,26,109,2820,"38,655"
Vatican City,12,,,,2,10,,14981,,,,801
Montserrat,11,,1,,10,0,,2204,200,36,7212,"4,992"
Suriname,11,,1,,9,1,,19,2,404,689,"586,020"
Greenland,11,,,,11,0,,194,,1767,31132,"56,759"
Seychelles,11,,,,11,0,,112,,,,"98,277"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,8,,1,,6,1,,265,33,167,5528,"30,208"
Papua New Guinea,8,,,,8,0,,0.9,,2402,269,"8,926,371"
Caribbean Netherlands,6,,,,6,0,,229,,357,13629,"26,195"
St. Barth,6,,,,6,0,,608,,,,"9,874"
Western Sahara,6,,,,6,0,,10,,,,"595,503"
Anguilla,3,,,,3,0,,200,,,,"14,987"
Lesotho,1,,,,,1,,0.5,,,,"2,140,282"
Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797"
Total:,5015676,32739,325509,955,1979223,2710944,45476,643.5,41.8,,,
