country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,
World,5015676,32739,325509,955,1979223,2710944,45476,643,41.8,,,
USA,1571328,745,93561,28,361227,1116540,17249,4750,283,12647099,38234,"330,779,957"
Russia,308705,8764,2972,135,85392,220341,2300,2115,20,7500000,51395,"145,927,463"
Spain,278803,,27778,,196958,54067,1152,5963,594,3037840,64977,"46,752,753"
Brazil,271885,,17983,,106794,147108,8318,1280,85,735224,3462,"212,385,054"
UK,248818,,35341,,N/A,N/A,1559,3667,521,2772552,40866,"67,845,213"
Italy,226699,,32169,,129401,65129,716,3749,532,3104524,51338,"60,471,682"
France,180809,,28022,,62563,90224,1894,2771,429,1384633,21218,"65,257,220"
Germany,177910,83,8200,7,156900,12810,1115,2124,98,3147771,37584,"83,753,585"
Turkey,151615,,4199,,112895,34521,882,1800,50,1675517,19892,"84,232,553"
Iran,126949,2346,7183,64,98808,20958,2735,1514,86,731213,8719,"83,865,579"
India,107789,1314,3316,14,42914,61559,,78,2,2512388,1823,"1,378,418,813"
Peru,99483,,2914,,36524,60045,883,3022,89,679582,20645,"32,917,154"
China,82965,5,4634,,78244,87,9,58,3,,,"1,439,323,776"
Canada,79112,,5912,,40050,33150,502,2098,157,1339971,35540,"37,703,672"
Saudi Arabia,62545,2691,339,10,33478,28728,251,1800,10,618084,17787,"34,748,812"
Belgium,55983,192,9150,42,14847,31986,313,4833,790,720228,62175,"11,583,877"
Mexico,54346,2713,5666,334,37325,11355,378,422,44,185755,1442,"128,773,952"
Chile,49579,,509,,21507,27563,876,2596,27,397200,20799,"19,097,135"
Pakistan,45898,1932,985,46,13101,31812,111,208,4,414254,1880,"220,368,526"
Netherlands,44447,198,5748,33,N/A,N/A,293,2595,336,302395,17652,"17,130,596"
Qatar,37097,1491,16,1,6600,30481,172,12902,6,170437,59279,"2,875,180"
Ecuador,34151,,2839,,3457,27855,221,1939,161,98171,5574,"17,610,964"
Belarus,32426,918,179,4,11415,20832,92,3431,19,387673,41025,"9,449,669"
Sweden,31523,724,3831,88,4971,22721,352,3124,380,209900,20799,"10,092,027"
Switzerland,30658,40,1892,1,27700,1066,55,3545,219,355393,41099,"8,647,311"
