country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,pop
Cuba,1947,6,82,,1704,161,3,172,7,94060,8304,"11,327,291"
Gabon,1934,,12,,459,1463,10,871,5,9908,4463,"2,219,916"
Estonia,1824,1,65,1,1538,221,1,1375,49,75779,57129,"1,326,447"
Iceland,1804,,10,,1791,3,,5290,29,58225,170739,"341,018"
Somalia,1689,95,66,5,235,1388,2,107,4,,,"15,843,017"
Lithuania,1635,12,63,,1138,434,17,600,23,269889,99015,"2,725,743"
Mayotte,1609,22,20,,894,695,11,5914,74,5200,19112,"272,084"
Slovakia,1511,2,28,,1307,176,1,277,5,159059,29135,"5,459,382"
New Zealand,1504,,21,,1456,27,1,312,4,261315,54235,"4,818,226"
Slovenia,1469,1,107,,1346,16,3,707,51,76384,36742,"2,078,910"
Kyrgyzstan,1433,30,16,2,992,425,5,220,2,100488,15430,"6,512,696"
Maldives,1371,,4,,144,1223,9,2541,7,11775,21825,"539,521"
Kenya,1286,72,52,1,402,832,1,24,1,61971,1155,"53,641,131"
Sri Lanka,1182,41,10,1,695,477,1,55,0.5,54834,2562,"21,404,252"
Venezuela,1121,,10,,262,849,2,39,0.4,804004,28266,"28,443,719"
Lebanon,1119,5,26,,688,405,4,164,4,74994,10983,"6,828,370"
Guinea-Bissau,1114,,6,,42,1066,,568,3,1500,764,"1,962,847"
Hong Kong,1066,,4,,1030,32,1,142,0.5,202930,27091,"7,490,759"
Mali,1059,29,67,2,604,388,,52,3,3483,173,"20,184,488"
Tunisia,1051,3,48,,917,86,3,89,4,47816,4050,"11,805,813"
Latvia,1049,2,22,,712,315,2,556,12,99770,52841,"1,888,124"
Equatorial Guinea,1043,83,12,1,165,866,,746,9,854,611,"1,397,634"
Albania,1004,6,32,,795,177,4,349,11,13333,4633,"2,878,103"
Haiti,958,93,27,1,22,909,,84,2,2718,239,"11,388,004"
Niger,945,,61,,783,101,,39,3,5989,248,"24,103,187"
Cyprus,935,,17,,594,324,10,775,14,99733,82666,"1,206,464"
Costa Rica,930,,10,,620,300,3,183,2,23378,4594,"5,089,334"
Zambia,920,,7,,336,577,1,50,0.4,20011,1092,"18,325,629"
Paraguay,862,,11,,307,544,,121,2,24812,3483,"7,123,379"
Burkina Faso,832,18,52,,672,108,,40,2,,,"20,838,531"
Uruguay,769,,22,,618,129,5,221,6,38146,10985,"3,472,528"
Andorra,763,1,51,,663,49,3,9877,660,3750,48542,"77,253"
Sierra Leone,735,28,42,2,293,400,,92,5,,,"7,959,309"
Georgia,731,1,12,,526,193,6,183,3,49093,12304,"3,989,910"
Diamond Princess,712,,13,,651,48,4,,,,,0
Jordan,708,,9,,471,228,5,69,0.9,163173,16009,"10,192,674"
Nepal,682,79,4,1,112,566,,23,0.1,146834,5049,"29,080,393"
Chad,675,,60,,215,400,,41,4,,,"16,372,282"
San Marino,666,1,42,,270,354,1,19632,1238,3996,117793,"33,924"
South Sudan,655,,8,,6,641,,59,0.7,3356,300,"11,180,046"
Ethiopia,655,73,5,,159,491,,6,0.04,83854,731,"114,646,241"
Malta,611,1,6,,485,120,1,1384,14,61615,139582,"441,426"
CAR,604,,1,,22,581,,125,0.2,11570,2400,"4,820,755"
Channel Islands,558,,45,,517,-4,,3212,259,10255,59039,"173,698"
Jamaica,552,2,9,,211,332,1,186,3,10230,3456,"2,959,871"
Madagascar,542,15,2,,147,393,6,20,0.07,5670,205,"27,611,307"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,541,003"
Congo,487,,16,,147,324,,88,3,,,"5,502,963"
Réunion,452,,1,,411,40,2,505,1,17200,19225,"894,662"
Taiwan,441,,7,,415,19,,19,0.3,70880,2977,"23,812,509"
Palestine,423,,3,,357,63,,83,0.6,44876,8819,"5,088,300"
Cabo Verde,390,10,3,,155,232,,702,5,1307,2353,"555,360"
Togo,381,,12,,141,228,,46,1,16747,2028,"8,257,247"
Isle of Man,336,,24,,303,9,2,3953,282,4569,53761,"84,988"
Mauritius,334,,10,,322,2,,263,8,102247,80411,"1,271,559"
French Guiana,328,,1,,145,182,,1101,3,,,"297,814"
Rwanda,327,,,,237,90,,25,,58477,4527,"12,916,434"
Vietnam,326,1,,,272,54,2,3,,275000,2828,"97,248,575"
