country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,
Estonia,1791,7,64,,938,789,4,1350,48,70188,52915,"1,326,433"
DRC,1629,91,61,,290,1278,,18,0.7,,,"89,204,344"
Lithuania,1562,15,60,1,1025,477,17,573,22,237600,87149,"2,726,360"
Djibouti,1518,,7,,1033,478,,1539,7,18933,19197,"986,245"
New Zealand,1503,4,21,,1442,40,2,312,4,233843,48539,"4,817,585"
El Salvador,1498,85,30,,502,966,27,231,5,60341,9308,"6,482,375"
Slovakia,1495,,28,,1192,275,3,274,5,145474,26647,"5,459,339"
Slovenia,1467,1,104,,1335,28,5,706,50,70970,34138,"2,078,905"
Somalia,1455,,57,,163,1235,2,92,4,,,"15,835,721"
Gabon,1432,,11,,301,1120,9,645,5,7966,3590,"2,219,053"
Mayotte,1370,,18,,627,725,9,5037,66,5200,19119,"271,976"
Kyrgyzstan,1243,27,14,,898,331,5,191,2,59490,9137,"6,510,930"
Maldives,1143,37,4,,91,1048,9,2119,7,11775,21831,"539,365"
Hong Kong,1056,,4,,1025,27,1,141,0.5,168291,22469,"7,489,763"
Tunisia,1043,,46,1,819,178,3,88,4,41620,3526,"11,803,787"
Guinea-Bissau,1032,,4,,38,990,,526,2,1500,764,"1,962,083"
Sri Lanka,1023,31,9,,569,445,1,48,0.4,45351,2119,"21,402,783"
Latvia,1012,3,21,2,694,297,3,536,11,90968,48170,"1,888,464"
Kenya,963,51,50,,358,555,1,18,0.9,46784,872,"53,621,669"
Lebanon,954,23,26,,251,677,4,140,4,63720,9331,"6,828,869"
Albania,949,1,31,,742,176,1,330,11,12369,4298,"2,878,155"
Cyprus,918,1,17,,515,386,10,761,14,87549,72575,"1,206,320"
Niger,909,,55,,714,140,,38,2,5888,244,"24,088,734"
Mali,901,27,53,1,529,319,,45,3,3483,173,"20,174,887"
Costa Rica,882,16,10,,577,295,5,173,2,20741,4076,"5,088,572"
Paraguay,829,41,11,,230,588,,116,2,21121,2966,"7,121,943"
Burkina Faso,796,,51,,652,93,,38,2,,,"20,829,100"
Zambia,772,11,7,,192,573,1,42,0.4,18519,1011,"18,317,156"
Andorra,761,,51,,628,82,3,9851,660,3750,48543,"77,251"
Uruguay,737,,20,,569,148,4,212,6,34384,9902,"3,472,331"
Equatorial Guinea,719,,7,,22,690,,515,5,854,611,"1,396,874"
Diamond Princess,712,,13,,651,48,4,,,,,
Georgia,707,6,12,,456,239,6,177,3,40711,10203,"3,990,035"
San Marino,655,1,41,,211,403,1,19308,1209,3610,106417,"33,923"
Jordan,649,20,9,,417,223,5,64,0.9,144356,14165,"10,191,015"
Venezuela,618,,10,,253,355,1,22,0.4,581082,20428,"28,445,034"
Malta,569,11,6,,460,103,1,1289,14,53196,120515,"441,407"
Channel Islands,555,,44,1,479,32,,3196,253,5342,30759,"173,672"
Chad,545,26,56,3,139,350,,33,3,,,"16,364,523"
Haiti,533,,21,,21,491,,47,2,2120,186,"11,385,726"
Jamaica,520,,9,,131,380,,176,3,8674,2931,"2,959,659"
Sierra Leone,519,,33,,148,338,,65,4,,,"7,956,645"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,512,999"
Réunion,446,,,,354,92,4,499,,17200,19227,"894,557"
Taiwan,440,,7,,401,32,,18,0.3,69395,2914,"23,811,805"
Congo,420,8,15,,132,273,,76,3,,,"5,500,730"
Nepal,402,27,2,,37,363,1,14,0.07,107253,3689,"29,071,791"
Palestine,391,3,2,,346,43,,77,0.4,44876,8823,"5,086,351"
CAR,366,39,,,18,348,,76,,3498,726,"4,819,377"
Ethiopia,365,13,5,,120,240,,3,0.04,62300,544,"114,599,417"
Benin,339,,2,,83,254,,28,0.2,25471,2108,"12,082,333"
Togo,338,8,12,,107,219,,41,1,13825,1675,"8,254,058"
Isle of Man,335,,24,,300,11,9,3942,282,4234,49823,"84,980"
Cabo Verde,335,7,3,,85,247,,603,5,892,1606,"555,261"
Mauritius,332,,10,,322,0,,261,8,92764,72955,"1,271,525"
Madagascar,326,4,2,1,119,205,,12,0.07,5670,205,"27,599,599"
Montenegro,324,,9,,312,3,2,516,14,10167,16188,"628,057"
Vietnam,324,,,,263,61,2,3,,275000,2828,"97,234,232"
Rwanda,308,11,,,209,99,,24,,52335,4053,"12,911,155"
South Sudan,290,,4,,4,282,,26,0.4,3356,300,"11,177,895"
Uganda,260,12,,,63,197,,6,,75228,1652,"45,550,580"
Nicaragua,254,229,17,9,199,38,,38,3,,,"6,615,040"
Sao Tome and Principe,246,,7,,4,235,,1125,32,175,800,"218,653"
Liberia,233,4,23,1,125,85,,46,5,,,"5,042,565"
French Guiana,210,,1,,131,78,,705,3,,,"297,687"
Eswatini,208,3,2,,87,119,,180,2,4160,3590,"1,158,724"
Myanmar,193,5,6,,104,83,,4,0.1,15137,278,"54,366,792"
Martinique,192,,14,,91,87,,512,37,,,"375,298"
Faeroe Islands,187,,,,187,0,,3829,,8931,182859,"48,841"
Yemen,167,37,28,8,5,134,,6,0.9,120,4,"29,742,981"
Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,"400,116"
Gibraltar,147,,,,145,2,,4363,,5187,153953,"33,692"
Mozambique,146,1,,,44,102,,5,,6537,210,"31,141,818"
Brunei,141,,1,,136,4,2,323,2,17636,40359,"436,979"
Mongolia,140,,,,26,114,2,43,,11367,3474,"3,271,795"
Mauritania,131,50,4,,7,120,,28,0.9,2583,557,"4,633,922"
Bermuda,125,,9,,77,39,2,2006,144,5549,89063,"62,304"
Guyana,124,,10,,45,69,3,158,13,1218,1549,"786,108"
Cambodia,122,,,,122,0,,7,,15447,925,"16,690,788"
Trinidad and Tobago,116,,8,,107,1,,83,6,2720,1944,"1,398,962"
Cayman Islands,111,17,1,,55,55,,1691,15,7082,107910,"65,629"
Aruba,101,,3,,93,5,4,946,28,2021,18939,"106,713"
Monaco,97,,4,,87,6,1,2474,102,,,"39,209"
Bahamas,96,,11,,43,42,1,244,28,1826,4649,"392,795"
Barbados,88,,7,,68,13,4,306,24,4004,13935,"287,335"
Liechtenstein,82,,1,,55,26,,2151,26,900,23613,"38,115"
Sint Maarten,77,,15,,54,8,7,1798,350,414,9669,"42,817"
Malawi,70,,3,,27,40,1,4,0.2,1803,95,"19,066,433"
Libya,68,3,3,,35,30,,10,0.4,3633,530,"6,859,926"
French Polynesia,60,,,,60,0,,214,,3496,12454,"280,717"
Syria,58,,3,,36,19,,3,0.2,,,"17,446,406"
Angola,52,2,3,,17,32,,2,0.09,6136,187,"32,731,783"
Zimbabwe,46,,4,,18,24,,3,0.3,28019,1889,"14,836,491"
Macao,45,,,,45,0,,69,,,,"648,258"
Burundi,42,,1,,20,21,,4,0.08,284,24,"11,844,472"
Saint Martin,39,,3,,30,6,1,1011,78,,,"38,585"
Eritrea,39,,,,39,0,,11,,,,"3,540,444"
Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1871,"97,833"
Botswana,25,,1,,17,7,,11,0.4,13294,5667,"2,345,678"
Gambia,24,,1,,13,10,,10,0.4,1476,613,"2,407,856"
Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,315"
Grenada,22,,,,14,8,4,196,,2419,21509,"112,462"
Bhutan,21,,,,5,16,,27,,14223,18457,"770,586"
Laos,19,,,,14,5,,3,,4653,641,"7,262,665"
Belize,18,,2,,16,0,,45,5,1043,2629,"396,732"
Fiji,18,,,,15,3,,20,,1300,1451,"895,677"
New Caledonia,18,,,,18,0,,63,,5454,19125,"285,170"
Saint Lucia,18,,,,18,0,,98,,786,4283,"183,529"
St. Vincent Grenadines,17,,,,14,3,,153,,155,1398,"110,899"
Curaçao,16,,1,,14,1,,98,6,389,2372,"164,015"
Dominica,16,,,,16,0,,222,,433,6017,"71,965"
Namibia,16,,,,13,3,,6,,2074,818,"2,535,193"
Saint Kitts and Nevis,15,,,,15,0,,282,,391,7356,"53,155"
Falkland Islands,13,,,,13,0,,3750,,426,122873,"3,467"
Turks and Caicos,12,,1,,10,1,,310,26,109,2820,"38,653"
Vatican City,12,,,,2,10,,14981,,,,801
Comoros,11,,1,,3,7,,13,1,,,"867,268"
Montserrat,11,,1,,10,0,,2204,200,36,7212,"4,992"
Suriname,11,,1,,9,1,,19,2,404,689,"586,006"
Greenland,11,,,,11,0,,194,,1767,31132,"56,759"
Seychelles,11,,,,11,0,,112,,,,"98,275"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,8,,1,,6,1,,265,33,167,5529,"30,207"
Papua New Guinea,8,,,,8,0,,0.9,,2402,269,"8,925,907"
Caribbean Netherlands,6,,,,6,0,,229,,357,13629,"26,194"
St. Barth,6,,,,6,0,,608,,,,"9,874"
Western Sahara,6,,,,6,0,,10,,,,"595,462"
Anguilla,3,,,,3,0,,200,,,,"14,987"
Lesotho,1,,,,,1,,0.5,,,,"2,140,235"
Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797"
Total:,4966031,77907,323627,3662,1948951,2693453,45079,637.1,41.5,,,
