country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,pop
World,6200397,49915,371748,1242,2762859,3065790,53485,795,47.7,,,
USA,1819792,2972,105634,77,535379,1178779,17163,5501,319,17312833,52330,"330,838,184"
Brazil,501985,3545,28872,38,205371,267742,8318,2363,136,930013,4378,"212,430,396"
Russia,405843,9268,4693,138,171883,229267,2300,2781,32,10643124,72933,"145,929,337"
Spain,286308,,27125,,196958,62225,617,6124,580,3556567,76071,"46,753,295"
UK,274762,1936,38489,113,N/A,N/A,1559,4049,567,4171408,61474,"67,855,909"
Italy,232664,,33340,,155633,43691,450,3848,551,3824621,63249,"60,469,020"
France,188625,,28771,,68268,91586,1325,2890,441,1384633,21217,"65,261,548"
India,186321,4494,5269,84,88808,92244,8944,135,4,3737027,2710,"1,378,826,256"
Germany,183370,76,8602,2,165200,9568,720,2189,103,3952971,47193,"83,761,616"
Turkey,163103,,4515,,126984,31604,649,1936,54,2003594,23779,"84,259,813"
Peru,155671,,4371,,66447,84853,960,4727,133,1012708,30752,"32,930,962"
Iran,151466,2516,7797,63,118848,24821,2527,1805,93,935894,11155,"83,897,889"
Chile,94858,,997,,40431,53430,1371,4966,52,563320,29490,"19,102,061"
Canada,90190,,7073,,48103,35014,1618,2391,188,1634277,43334,"37,713,606"
Mexico,87512,2885,9779,364,61871,15862,378,679,76,270992,2104,"128,814,639"
Saudi Arabia,85261,1877,503,23,62442,22316,384,2452,14,806569,23201,"34,765,118"
China,83001,2,4634,,78304,63,3,58,3,,,1439323776
Pakistan,69496,3039,1483,88,25271,42742,111,315,7,547030,2481,"220,497,647"
Belgium,58381,195,9467,14,15887,33027,168,5039,817,866497,74792,"11,585,389"
Qatar,56910,1648,38,2,30290,26582,232,19783,13,222069,77197,"2,876,643"
Bangladesh,47153,2545,650,40,9781,36722,1,287,4,308940,1878,"164,546,795"
Netherlands,46442,185,5956,5,N/A,N/A,159,2711,348,349150,20380,"17,131,732"
Belarus,42556,898,235,6,18514,23807,92,4503,25,541093,57261,"9,449,576"
Ecuador,38571,,3334,,19190,16047,220,2189,189,113808,6459,"17,619,020"
Sweden,37542,429,4395,,4971,28176,228,3719,435,238800,23658,"10,093,917"
Singapore,34884,518,23,,21699,13162,8,5967,4,334691,57247,"5,846,395"
UAE,34557,661,264,2,17932,16361,1,3498,27,2110493,213615,"9,879,882"
Portugal,32500,297,1410,14,19409,11681,64,3187,138,795838,78030,"10,199,093"
South Africa,30967,,643,,16116,14208,128,523,11,701883,11848,"59,242,648"
Switzerland,30862,17,1920,1,28400,542,28,3568,222,397691,45980,"8,649,211"
