country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,pop
Colombia,28236,,890,,7121,20225,136,555,18,319779,6290,"50,835,558"
Kuwait,27043,851,212,7,11386,15445,200,6341,50,290013,68000,"4,264,919"
Indonesia,26473,700,1613,40,7308,17552,,97,6,323376,1183,"273,271,317"
Ireland,24929,,1651,,22089,1189,36,5054,335,325795,66045,"4,932,957"
Poland,23686,115,1064,3,11271,11351,160,626,28,915546,24189,"37,849,973"
Ukraine,23672,468,708,12,9538,13426,278,541,16,356565,8149,"43,754,416"
Egypt,23449,,913,,5693,16843,41,230,9,135000,1321,"102,157,382"
Romania,19257,124,1266,7,13256,4735,160,1000,66,439197,22818,"19,247,736"
Philippines,18086,862,957,7,3909,13220,73,165,9,347592,3176,"109,451,714"
Dominican Republic,17285,377,502,4,9557,7226,106,1595,46,76930,7098,"10,838,453"
Israel,17024,12,284,,14812,1928,39,1851,31,568452,61804,9197590
Japan,16804,,886,,14406,1512,123,133,7,287754,2275,"126,507,477"
Austria,16731,46,668,,15593,470,27,1859,74,448534,49826,"9,002,048"
Argentina,16214,,530,2,5336,10348,259,359,12,155407,3441,"45,159,906"
Afghanistan,15205,680,257,8,1328,13620,19,391,7,38460,990,"38,846,163"
Panama,13018,,330,,9414,3274,78,3021,77,66192,15363,"4,308,653"
Denmark,11669,36,574,3,10362,733,20,2015,99,628965,108620,"5,790,499"
S. Korea,11468,27,270,1,10405,793,15,224,5,910822,17767,"51,265,561"
Oman,11437,1014,47,5,2396,8994,31,2245,9,72000,14134,"5,094,240"
Serbia,11412,31,243,1,6698,4471,10,1306,28,245985,28144,"8,740,173"
Bahrain,11288,495,19,2,6673,4596,12,6657,11,314823,185669,"1,695,617"
Kazakhstan,10858,476,40,2,5404,5414,62,579,2,812881,43338,"18,756,949"
Nigeria,9855,,273,,2856,6726,7,48,1,60825,296,"205,654,182"
Bolivia,9592,861,310,10,889,8393,3,823,27,28239,2422,"11,658,870"
Armenia,9282,355,131,4,3386,5765,10,3133,44,58065,19598,"2,962,785"
Algeria,9267,,646,,5549,3072,34,212,15,,,"43,778,769"
Czechia,9233,3,319,,6546,2368,15,862,30,439744,41069,"10,707,339"
Norway,8440,3,236,,7727,477,8,1558,44,245352,45288,"5,417,605"
Moldova,8251,153,295,4,4581,3375,251,2045,73,40565,10054,"4,034,718"
Ghana,7881,113,36,1,2841,5004,5,254,1,214956,6931,"31,012,732"
Malaysia,7819,57,115,,6353,1351,9,242,4,553183,17111,"32,329,329"
Morocco,7783,3,204,,5412,2167,18,211,6,205588,5576,"36,872,098"
Australia,7195,10,103,,6614,478,4,282,4,1454568,57100,"25,473,913"
Finland,6859,33,320,4,5500,1039,10,1238,58,184408,33287,"5,540,010"
Iraq,6179,,195,,3110,2874,36,154,5,211485,5269,"40,137,925"
Cameroon,5904,,191,,3568,2145,28,223,7,,,"26,483,044"
Azerbaijan,5494,248,63,2,3428,2003,42,542,6,294264,29045,"10,131,281"
Honduras,5094,208,201,2,536,4357,13,515,20,14790,1495,"9,890,414"
Sudan,4800,,262,,1272,3266,,110,6,401,9,"43,752,816"
Guatemala,4739,132,102,12,706,3931,5,265,6,31427,1757,"17,885,239"
Luxembourg,4016,,110,,3815,91,4,6425,176,74366,118975,"625,058"
Tajikistan,3930,123,47,,2004,1879,,413,5,,,"9,517,571"
Hungary,3876,9,526,2,2147,1203,25,401,54,185980,19248,"9,662,323"
Guinea,3706,,23,,2030,1653,24,283,2,14407,1100,"13,098,481"
Senegal,3645,110,42,,1801,1802,14,218,3,42105,2521,"16,701,616"
Uzbekistan,3583,37,15,1,2837,731,10,107,0.4,460000,13762,"33,425,870"
Djibouti,3194,,22,,1286,1886,,3237,22,26366,26721,"986,716"
Thailand,3081,4,57,,2963,61,1,44,0.8,375453,5380,"69,785,445"
DRC,3070,104,72,3,448,2550,,34,0.8,,,"89,294,020"
Greece,2917,2,175,,1374,1368,13,280,17,180518,17312,"10,427,085"
Ivory Coast,2799,,33,,1385,1381,,106,1,26905,1022,"26,316,224"
Gabon,2655,,17,,722,1916,15,1196,8,13833,6229,"2,220,779"
El Salvador,2517,122,46,2,1040,1431,53,388,7,89358,13782,"6,483,446"
Bulgaria,2513,14,140,1,1074,1299,17,361,20,81348,11701,"6,952,517"
Bosnia and Herzegovina,2510,16,153,,1862,495,4,765,47,65220,19869,"3,282,421"
Croatia,2246,,103,,2072,71,4,547,25,66405,16168,"4,107,255"
North Macedonia,2226,62,133,2,1552,541,21,1068,64,29575,14196,"2,083,381"
Cuba,2025,,83,,1795,147,3,179,7,103123,9104,"11,327,179"
Kenya,1962,74,64,1,478,1420,7,37,1,78536,1464,"53,660,593"
Somalia,1916,,73,,327,1516,2,121,5,,,"15,850,314"
Estonia,1869,4,68,1,1624,177,,1409,51,83440,62904,"1,326,462"
Haiti,1865,281,41,6,24,1800,,164,4,4577,402,"11,390,283"
Iceland,1806,,10,,1794,2,,5295,29,61025,178930,"341,055"
Kyrgyzstan,1748,26,16,,1170,562,4,268,2,111859,17171,"6,514,462"
Mayotte,1699,,21,,1385,293,9,6242,77,5200,19104,"272,192"
Lithuania,1675,5,70,,1236,369,17,615,26,302859,111136,"2,725,125"
Maldives,1672,,5,,406,1261,9,3098,9,11775,21819,"539,677"
Sri Lanka,1630,17,10,,801,819,1,76,0.5,63935,2987,"21,405,720"
Nepal,1567,166,8,2,220,1339,,54,0.3,180691,6212,"29,088,995"
Slovakia,1521,,28,,1366,127,,279,5,172601,31615,"5,459,425"
New Zealand,1504,,22,,1481,1,,301,4,280983,56173,5002100
Slovenia,1473,,108,,1358,7,2,709,52,79897,38432,"2,078,915"
Venezuela,1459,,14,,302,1143,3,51,0.5,970394,34118,"28,442,404"
Equatorial Guinea,1306,,12,,200,1094,,934,9,8268,5913,"1,398,393"
Guinea-Bissau,1256,,8,,42,1206,,640,4,1500,764,"1,963,612"
Mali,1250,,76,,696,478,,62,4,3483,172,"20,194,089"
Lebanon,1220,29,27,1,712,481,3,179,4,83574,12240,"6,827,871"
Ethiopia,1172,109,11,3,209,952,4,10,0.1,109451,954,"114,693,065"
Albania,1136,14,33,,872,231,4,395,11,14723,5116,"2,878,052"
Hong Kong,1085,2,4,,1037,44,2,145,0.5,202930,27087,"7,491,755"
Tunisia,1077,1,48,,960,69,2,91,4,51881,4394,"11,807,839"
Latvia,1066,1,24,,745,297,3,565,13,109071,57777,"1,887,785"
Zambia,1057,,7,,779,271,1,58,0.4,24275,1324,"18,334,102"
Costa Rica,1047,,10,,658,379,4,206,2,26073,5122,"5,090,096"
South Sudan,994,,10,,6,978,,89,0.9,3356,300,"11,182,197"
Paraguay,964,,11,,466,487,2,135,2,29153,4092,"7,124,815"
CAR,962,,1,,23,938,,199,0.2,15021,3115,"4,822,133"
Niger,956,,64,,818,74,,40,3,6033,250,"24,117,639"
Cyprus,943,,17,,790,136,4,782,14,115694,95884,"1,206,608"
Sierra Leone,852,,46,,415,391,,107,6,,,"7,961,973"
Burkina Faso,847,,53,,720,74,,41,3,,,"20,847,963"
Uruguay,821,,22,,682,117,5,236,6,43479,12520,"3,472,725"
Georgia,783,26,12,,605,166,6,196,3,56987,14283,"3,989,785"
Madagascar,771,13,6,,168,597,8,28,0.2,10249,371,"27,623,015"
Andorra,764,,51,,692,21,4,9889,660,3750,48541,"77,255"
Chad,759,,65,,470,224,,46,4,,,"16,380,040"
Nicaragua,759,,35,,370,354,,115,5,,,"6,617,623"
Jordan,734,,9,,507,218,5,72,0.9,183641,18014,"10,194,333"
Diamond Princess,712,,13,,651,48,4,,,,,0
San Marino,671,,42,,357,272,1,19779,1238,4466,131643,"33,925"
Malta,618,,9,,534,75,1,1400,20,69025,156361,"441,445"
Jamaica,581,6,9,,290,282,2,196,3,12389,4185,"2,960,082"
Congo,571,,19,,161,391,,104,3,,,"5,505,196"
Channel Islands,560,,45,,525,-10,,3224,259,10255,59030,"173,724"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,569,007"
Mauritania,483,,20,,21,442,,104,4,7654,1650,"4,637,943"
Sao Tome and Principe,479,,12,,68,399,,2189,55,175,800,"218,786"
French Guiana,477,,1,,185,291,2,1601,3,,,"297,942"
Réunion,471,,1,,411,59,1,526,1,17200,19223,"894,766"
Palestine,448,1,3,,368,77,,88,0.6,44876,8816,"5,090,250"
Taiwan,442,,7,,423,12,,19,0.3,72082,3027,"23,813,214"
Togo,433,,13,,206,214,,52,2,19705,2385,"8,260,436"
Cabo Verde,421,,4,,167,250,,758,7,1307,2353,"555,459"
Uganda,413,,,,72,341,,9,,96825,2123,"45,598,170"
Rwanda,359,,1,,250,108,,28,0.08,66976,5183,"12,921,714"
Isle of Man,336,,24,,309,3,,3953,282,4805,56533,"84,995"
Mauritius,335,,10,,322,3,,263,8,116937,91961,"1,271,594"
Vietnam,328,,,,279,49,1,3,,275000,2827,"97,262,917"
Montenegro,324,,9,,315,0,,516,14,10167,16188,"628,060"
Yemen,310,,77,,13,220,,10,3,120,4,"29,764,568"
Liberia,288,8,27,,157,104,,57,5,,,"5,046,473"
Eswatini,283,,2,,168,113,,244,2,4994,4308,"1,159,118"
Malawi,279,,4,,42,233,1,15,0.2,3372,177,"19,082,694"
Mozambique,254,10,2,,91,161,,8,0.06,10878,349,"31,170,640"
Benin,232,8,3,,143,86,,19,0.2,30817,2548,"12,092,780"
Myanmar,224,,6,,130,88,,4,0.1,24710,454,"54,378,732"
Martinique,200,,14,,98,88,,533,37,,,"375,289"
Faeroe Islands,187,,,,187,0,,3828,,9677,198108,"48,847"
Mongolia,179,,,,44,135,19,55,,13672,4177,"3,273,528"
Zimbabwe,174,,4,,29,141,,12,0.3,46613,3140,"14,843,588"
Gibraltar,170,1,,,149,21,,5046,,7632,226523,"33,692"
Guadeloupe,162,,14,,138,10,1,405,35,4137,10339,"400,118"
Guyana,152,,12,,67,73,2,193,15,1604,2040,"786,232"
Brunei,141,,2,,138,1,1,323,5,19386,44350,"437,116"
Cayman Islands,141,,1,,68,72,,2148,15,11139,169662,"65,654"
Bermuda,140,,9,,92,39,2,2247,144,7171,115112,"62,296"
Libya,130,,5,,50,75,,19,0.7,5591,815,"6,862,990"
Cambodia,125,,,,123,2,1,7,,20406,1222,"16,698,376"
Syria,122,,4,,43,75,,7,0.2,,,"17,460,385"
Trinidad and Tobago,117,1,8,,108,1,,84,6,3138,2243,"1,399,110"
Comoros,106,,2,,26,78,,122,2,,,"867,877"
Bahamas,102,,11,,48,43,1,260,28,2091,5322,"392,918"
Aruba,101,,3,,98,0,,946,28,2128,19939,"106,728"
Monaco,99,,4,,90,5,1,2524,102,,,"39,218"
Barbados,92,,7,,76,9,1,320,24,5390,18758,"287,346"
Angola,84,,4,,18,62,1,3,0.1,10000,305,"32,765,461"
Liechtenstein,82,,1,,55,26,,2151,26,900,23610,"38,119"
Sint Maarten,77,,15,,60,2,1,1798,350,461,10763,"42,833"
Burundi,63,,1,,33,29,,5,0.08,284,24,"11,856,133"
French Polynesia,60,,,,60,0,,214,,4006,14268,"280,770"
Macao,45,,,,45,0,,69,,,,"648,548"
Bhutan,43,10,,,6,37,,56,,17038,22102,"770,865"
Saint Martin,41,,3,,33,5,1,1062,78,614,15904,"38,606"
Eritrea,39,,,,39,0,,11,,,,"3,542,053"
Botswana,35,,1,,20,14,,15,0.4,20186,8600,"2,347,237"
St. Vincent Grenadines,26,,,,15,11,,234,,593,5347,"110,911"
Antigua and Barbuda,25,,3,,19,3,1,255,31,183,1870,"97,859"
Gambia,25,,1,,20,4,,10,0.4,1756,729,"2,410,091"
Namibia,24,1,,,14,10,,9,,3680,1451,"2,536,704"
Timor-Leste,24,,,,24,0,,18,,1290,980,"1,316,139"
Grenada,23,,,,18,5,4,204,,3007,26734,"112,479"
Curaçao,19,,1,,14,4,,116,6,572,3487,"164,037"
Laos,19,,,,16,3,,3,,6928,953,"7,266,127"
New Caledonia,19,,,,18,1,,67,,6416,22492,"285,260"
Belize,18,,2,,16,0,,45,5,1572,3960,"396,969"
Fiji,18,,,,15,3,,20,,2431,2714,"895,890"
Saint Lucia,18,,,,18,0,,98,,1012,5513,"183,556"
Dominica,16,,,,16,0,,222,,433,6016,"71,971"
Saint Kitts and Nevis,15,,,,15,0,,282,,394,7411,"53,167"
Suriname,14,2,1,,9,4,,24,2,782,1334,"586,178"
Falkland Islands,13,,,,13,0,,3746,,503,144957,"3,470"
Greenland,13,,,,11,2,,229,,2030,35763,"56,762"
Turks and Caicos,12,,1,,11,0,,310,26,129,3336,"38,670"
Vatican City,12,,,,2,10,,14981,,,,801
Montserrat,11,,1,,10,0,,2204,200,61,12220,"4,992"
Seychelles,11,,,,11,0,,112,,,,"98,295"
MS Zaandam,9,,2,,,7,,,,,,0
Western Sahara,9,,1,,6,2,,15,2,,,"595,945"
British Virgin Islands,8,,1,,7,0,,265,33,167,5527,"30,214"
Papua New Guinea,8,,,,8,0,,0.9,,2402,269,"8,931,472"
Caribbean Netherlands,6,,,,6,0,,229,,424,16182,"26,202"
St. Barth,6,,,,6,0,,608,,137,13875,"9,874"
Anguilla,3,,,,3,0,,200,,41,2735,"14,991"
Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,792"
Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
Total:,6200397,49915,371748,1242,2762859,3065790,53485,795.5,47.7,,,
